[INFO] [12/24/2017 17:36:02.609]  Got cheese (from nextBuyer_4): time=0, impudance=true, cashdesk=1
[INFO] [12/24/2017 17:36:02.667]  Got cheese (from nextBuyer_5): time=0, impudance=true, cashdesk=2
[INFO] [12/24/2017 17:36:03.950]  Got cheese (from nextBuyer_2): time=2, impudance=false, cashdesk=2
[INFO] [12/24/2017 17:36:04.500]  Got cheese (from nextBuyer_1): time=1, impudance=false, cashdesk=1
[INFO] [12/24/2017 17:36:05.500]  Got cheese (from nextBuyer_3): time=2, impudance=true, cashdesk=2
[INFO] [12/24/2017 17:36:06.469]  Got cheese (from nextBuyer_6): time=4, impudance=true, cashdesk=1
[INFO] [12/24/2017 17:36:07.137]  Got cheese (from nextBuyer_7): time=6, impudance=true, cashdesk=2
[INFO] [12/24/2017 17:36:07.667]  Got cheese (from nextBuyer_9): time=7, impudance=true, cashdesk=1
[INFO] [12/24/2017 17:36:09.057]  Got cheese (from nextBuyer_8): time=8, impudance=false, cashdesk=2
[INFO] [12/24/2017 17:36:09.439]  Got cheese (from nextBuyer_10): time=9, impudance=true, cashdesk=1
[INFO] [12/24/2017 17:36:11.037]  Got cheese (from nextBuyer_12): time=11, impudance=true, cashdesk=2
[INFO] [12/24/2017 17:36:11.163]  Got cheese (from nextBuyer_14): time=12, impudance=true, cashdesk=1
[INFO] [12/24/2017 17:36:12.375]  Got cheese (from nextBuyer_18): time=18, impudance=false, cashdesk=1
[INFO] [12/24/2017 17:36:12.998]  Got cheese (from nextBuyer_16): time=14, impudance=true, cashdesk=2
[INFO] [12/24/2017 17:36:13.568]  Got cheese (from nextBuyer_24): time=20, impudance=true, cashdesk=1
[INFO] [12/24/2017 17:36:14.236]  Got cheese (from nextBuyer_20): time=20, impudance=false, cashdesk=2
[INFO] [12/24/2017 17:36:15.337]  Got cheese (from nextBuyer_22): time=22, impudance=false, cashdesk=1
[INFO] [12/24/2017 17:36:15.478]  Got cheese (from nextBuyer_26): time=26, impudance=false, cashdesk=2
[INFO] [12/24/2017 17:36:17.329]  Got cheese (from nextBuyer_28): time=28, impudance=false, cashdesk=1
[INFO] [12/24/2017 17:36:17.444]  Got cheese (from nextBuyer_30): time=30, impudance=false, cashdesk=2
[INFO] [12/24/2017 17:36:19.245]  Got cheese (from nextBuyer_36): time=33, impudance=true, cashdesk=2
[INFO] [12/24/2017 17:36:19.344]  Got cheese (from nextBuyer_32): time=30, impudance=true, cashdesk=1
[INFO] [12/24/2017 17:36:20.396]  Got cheese (from nextBuyer_34): time=34, impudance=false, cashdesk=2
[INFO] [12/24/2017 17:36:20.456]  Got cheese (from nextBuyer_42): time=38, impudance=true, cashdesk=1
[INFO] [12/24/2017 17:36:21.684]  Got cheese (from nextBuyer_38): time=38, impudance=false, cashdesk=2
[INFO] [12/24/2017 17:36:22.214]  Got cheese (from nextBuyer_40): time=39, impudance=true, cashdesk=1
[INFO] [12/24/2017 17:36:22.890]  Got cheese (from nextBuyer_44): time=41, impudance=true, cashdesk=2
[INFO] [12/24/2017 17:36:23.578]  Got cheese (from nextBuyer_46): time=46, impudance=false, cashdesk=1
[INFO] [12/24/2017 17:36:24.457]  Got cheese (from nextBuyer_50): time=47, impudance=true, cashdesk=2
[INFO] [12/24/2017 17:36:24.717]  Got cheese (from nextBuyer_48): time=47, impudance=true, cashdesk=1
[INFO] [12/24/2017 17:36:25.717]  Got cheese (from nextBuyer_52): time=52, impudance=false, cashdesk=2
[INFO] [12/24/2017 17:36:25.835]  Got cheese (from nextBuyer_54): time=54, impudance=false, cashdesk=1
[INFO] [12/24/2017 17:36:26.837]  Got cheese (from nextBuyer_56): time=56, impudance=false, cashdesk=2
[INFO] [12/24/2017 17:36:27.066]  Got cheese (from nextBuyer_58): time=58, impudance=false, cashdesk=1
[INFO] [12/24/2017 17:36:28.115]  Got cheese (from nextBuyer_60): time=59, impudance=true, cashdesk=2
[INFO] [12/24/2017 17:36:29.092]  Got cheese (from nextBuyer_62): time=62, impudance=false, cashdesk=1
[INFO] [12/24/2017 17:36:30.014]  Got cheese (from nextBuyer_64): time=62, impudance=true, cashdesk=2
